episode,time,task,fatigue,skill_level,semaphore_state,sampling_rate,robot_active,collision
32,45,packaging,67.54230849977053,4,red,0.1,True,True
33,0,rest,28.45875721663065,2,green,5.0,False,False
33,15,hmi_supervision,38.508757216630656,2,orange,2.0,False,False
33,30,material_delivery,52.45875721663066,3,red,0.1,True,False
33,45,packaging,68.50875721663066,4,red,0.1,True,False
34,0,rest,28.773249641871963,2,green,5.0,False,False
34,15,hmi_supervision,38.82324964187197,2,orange,2.0,False,False
34,30,material_delivery,52.77324964187197,3,red,0.1,True,False
34,45,packaging,68.82324964187197,4,red,0.1,True,False
35,0,rest,28.69846008933715,2,green,5.0,False,False
35,15,hmi_supervision,38.74846008933715,2,orange,2.0,False,False
35,30,material_delivery,52.69846008933715,3,red,0.1,True,False
35,45,packaging,68.74846008933716,4,red,0.1,True,False
36,0,rest,27.37058685758302,2,green,5.0,False,False
36,15,hmi_supervision,37.42058685758302,2,orange,2.0,False,False
36,30,material_delivery,51.37058685758302,3,red,0.1,True,False
36,45,packaging,67.42058685758302,4,red,0.1,True,False
37,0,rest,27.76809071811159,2,green,5.0,False,False
37,15,hmi_supervision,37.81809071811159,2,orange,2.0,False,False
37,30,material_delivery,51.768090718111594,3,red,0.1,True,False
37,45,packaging,67.81809071811159,4,red,0.1,True,False
38,0,rest,27.640619321616033,2,green,5.0,False,False
38,15,hmi_supervision,37.69061932161603,2,orange,2.0,False,False
38,30,material_delivery,51.640619321616036,3,red,0.1,True,False
38,45,packaging,67.69061932161604,4,red,0.1,True,False
39,0,rest,27.860755767502138,2,green,5.0,False,False
39,15,hmi_supervision,37.91075576750214,2,orange,2.0,False,False
39,30,material_delivery,51.86075576750214,3,red,0.1,True,False
39,45,packaging,67.91075576750214,4,red,0.1,True,False
40,0,rest,28.609394366795648,2,green,5.0,False,False
40,15,hmi_supervision,38.65939436679565,2,orange,2.0,False,False
40,30,material_delivery,52.609394366795655,3,red,0.1,True,False
40,45,packaging,68.65939436679565,4,red,0.1,True,False
41,0,rest,29.017180021428118,2,green,5.0,False,False
41,15,hmi_supervision,39.067180021428115,2,orange,2.0,False,False
41,30,material_delivery,53.01718002142812,3,red,0.1,True,False
41,45,packaging,69.06718002142811,4,red,0.1,True,False
42,0,rest,28.271227018785726,2,green,5.0,False,False
42,15,hmi_supervision,38.32122701878573,2,orange,2.0,False,False
42,30,material_delivery,52.27122701878573,3,red,0.1,True,False
42,45,packaging,68.32122701878573,4,red,0.1,True,False
